ref_date,option_price,sigma_impl,asset_price,option_ticker,ticker,K,expiry,r,t
16-Jun-23,30.75,26.581,342.33,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.175
20-Jun-23,27.03,26.84,338.05,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.163888889
21-Jun-23,23.26,26.066,333.56,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.161111111
22-Jun-23,27.85,26.471,339.71,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.158333333
23-Jun-23,23.89,26.251,335.02,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.155555556
26-Jun-23,19.65,26.53,328.6,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.147222222
27-Jun-23,23.8,26.766,334.57,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.144444444
28-Jun-23,23.2,27.275,335.85,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.141666667
29-Jun-23,22.75,26.924,335.05,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.138888889
30-Jun-23,27.85,26.86,340.54,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.136111111
3-Jul-23,25.3,26.502,337.99,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.127777778
5-Jul-23,25.3,26.844,338.15,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.122222222
6-Jul-23,27.48,28.809,341.27,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.119444444
7-Jul-23,25,28.137,337.22,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.116666667
10-Jul-23,20.47,28.629,331.83,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.108333333
11-Jul-23,20.8,28.47,332.47,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.105555556
12-Jul-23,23.8,28.861,337.2,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.102777778
13-Jul-23,29,29.699,342.66,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.1
14-Jul-23,29.9,28.038,345.24,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.097222222
17-Jul-23,30.3,30.482,345.73,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.088888889
18-Jul-23,43.64,33.472,359.49,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.086111111
19-Jul-23,39.2,32.768,355.08,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.083333333
20-Jul-23,31.62,34.03,346.87,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.080555556
21-Jul-23,27.5,31.476,343.77,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.077777778
24-Jul-23,28.93,32.869,345.11,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.069444444
25-Jul-23,34.63,33.793,350.98,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.066666667
26-Jul-23,20.6,24.884,337.77,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.063888889
27-Jul-23,15,24.647,330.72,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.061111111
28-Jul-23,20.45,23.129,338.37,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.058333333
31-Jul-23,18.11,23.232,335.92,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.05
1-Aug-23,19.75,23.497,336.34,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.047222222
2-Aug-23,12,25.17,327.5,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.044444444
3-Aug-23,11.43,24.693,326.66,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.041666667
4-Aug-23,10.2,24.556,327.78,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.038888889
7-Aug-23,12.3,22.423,330.11,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.030555556
8-Aug-23,9.35,23.673,326.05,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.027777778
9-Aug-23,6.54,25.227,322.23,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.025
10-Aug-23,6.35,24.182,322.93,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.022222222
11-Aug-23,4.28,22.325,321.01,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.019444444
14-Aug-23,5.5,20.097,324.04,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.011111111
15-Aug-23,3.71,21.03,321.66,MSFT US 08/18/23 C320 Equity,MSFT US Equity,320,8/18/2023,0.02,0.008333333
